index,area,city
857,Thatiguntapalem ,2
858,Thavanampalle ,2
859,Theertham ,2
860,Thettu ,2
861,Thotakanuma ,2
862,Thugundram ,2
863,Thumba ,2
864,Thumbakuppam ,2
865,Thummanamgutta ,2
866,Thumminda ,2
867,Thurlapalle ,2
868,Thurupupalle ,2
869,Todatara ,2
870,Ugranapalle ,2
871,Uttarabrahmanapalle ,2
872,Vajjireddipalle ,2
873,Valasapalle ,3
874,Vanadurgapuram ,2
875,Vanamaladinne ,2
876,Varathur ,2
877,Vasanadu ,2
878,Vavilthota ,2
879,Veerakanellore ,2
880,Veeranamala ,2
881,Velkur ,2
882,Vemareddigaripalle ,2
883,Vempalle ,3
884,Vendugampalle ,2
885,Vengalrajukuppam ,2
886,Vengampalle ,2
887,Vengamvaripale ,2
888,Venkatagirikota ,2
889,Venkatapuram ,2
890,Vepanapalle ,2
891,Vepanjeri ,2
892,Vepurikota ,2
893,Vizalapuram ,2
894,Yadamari ,2
895,Yeddulavaripalle ,2
896,Yellampalle Santhagate ,2
897,Yerrepalle ,2
898,Yetavakili ,2
899,Yetteri ,2
900,Abbavaram ,4
901,Abbavaramvandlapalli ,4
902,Adapur ,4
903,Adavikammapalli ,4
904,Addalamarri ,4
905,Akepadu ,4
906,Akkalareddypalli ,4
907,Akkireddygaripalli ,4
908,Alankhan Palli ,4
909,Allwyn Nagar ,4
910,Almaspet ,4
911,Amagampalli ,4
912,Ananthaiah Gari Palle ,4
913,Ananthapuram ,4
914,Anantharajup R.S. ,4
915,Anantharajupet ,4
916,Anantharajupuram ,4
917,Ananthasamudram ,4
918,Ankanagodiganur ,4
919,Anumpalli ,4
920,Anumpalli ,4
921,Appanakondayapalli ,4
922,Appanapalli ,4
923,Appayarajupet ,4
924,APSP Xl Batallion ,4
925,Araveedu ,4
926,Atlur ,4
927,Ayyavaripalli ,4
928,B . Kodur ,4
929,Badvel Bazaar ,4
930,Badvel ,4
931,Balathimmayyagaripalli ,4
932,Balayapalli ,4
933,Balireddy Palli ,4
934,Balireddygari Palli ,4
935,Bandlapalli ,4
936,Barytes Factory ,4
937,Basavapuram ,4
938,Bayanapalli ,4
939,Beebisahebpet ,4
940,Beechuvaripalli ,4
